
**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_14_50_27 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_14_54_11 	NORMAL    	Executing precommand
2016-09-29_14_54_11 	NORMAL    	Executing steps
2016-09-29_14_54_11 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_14_54_14 	PASS      		Step pass.
2016-09-29_14_54_14 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_14_54_14 	PASS      		Step pass.
2016-09-29_14_54_14 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_14_54_15 	PASS      		Step pass.
2016-09-29_14_54_15 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_14_54_15 	PASS      		Step pass.
2016-09-29_14_54_15 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_14_54_15 	PASS      		Step pass.
2016-09-29_14_54_15 	NORMAL    	Executing postcommand
2016-09-29_14_54_15 	NORMAL    	Executing verify
2016-09-29_14_54_15 	NORMAL    		实际测试结果：[]
2016-09-29_14_54_15 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_15_06_36 	NORMAL    	Executing precommand
2016-09-29_15_06_36 	NORMAL    	Executing steps
2016-09-29_15_06_36 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_15_06_38 	PASS      		Step pass.
2016-09-29_15_06_38 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_15_06_39 	PASS      		Step pass.
2016-09-29_15_06_39 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_15_06_39 	PASS      		Step pass.
2016-09-29_15_06_39 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_15_06_40 	PASS      		Step pass.
2016-09-29_15_06_40 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_15_06_40 	PASS      		Step pass.
2016-09-29_15_06_40 	NORMAL    	Executing postcommand
2016-09-29_15_06_40 	NORMAL    	Executing verify
2016-09-29_15_06_40 	NORMAL    		实际测试结果：[]
2016-09-29_15_06_40 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_15_09_15 	NORMAL    	Executing precommand
2016-09-29_15_09_15 	NORMAL    	Executing steps
2016-09-29_15_09_15 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_15_09_16 	PASS      		Step pass.
2016-09-29_15_09_16 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_15_09_16 	PASS      		Step pass.
2016-09-29_15_09_16 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_15_09_17 	PASS      		Step pass.
2016-09-29_15_09_17 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_15_09_17 	PASS      		Step pass.
2016-09-29_15_09_17 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_15_09_17 	PASS      		Step pass.
2016-09-29_15_09_17 	NORMAL    	Executing postcommand
2016-09-29_15_09_17 	NORMAL    	Executing verify
2016-09-29_15_09_17 	NORMAL    		实际测试结果：[]
2016-09-29_15_09_17 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_15_10_49 	NORMAL    	Executing precommand
2016-09-29_15_10_49 	NORMAL    	Executing steps
2016-09-29_15_10_49 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_15_10_51 	PASS      		Step pass.
2016-09-29_15_10_51 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_15_10_51 	PASS      		Step pass.
2016-09-29_15_10_52 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_15_10_52 	PASS      		Step pass.
2016-09-29_15_10_52 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_15_10_52 	PASS      		Step pass.
2016-09-29_15_10_52 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_15_10_52 	PASS      		Step pass.
2016-09-29_15_10_52 	NORMAL    	Executing postcommand
2016-09-29_15_10_52 	NORMAL    	Executing verify
2016-09-29_15_10_52 	NORMAL    		实际测试结果：[]
2016-09-29_15_10_52 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_15_12_16 	NORMAL    	Executing precommand
2016-09-29_15_12_16 	NORMAL    	Executing steps
2016-09-29_15_12_16 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_15_12_18 	PASS      		Step pass.
2016-09-29_15_12_18 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_15_12_19 	PASS      		Step pass.
2016-09-29_15_12_19 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_15_12_19 	PASS      		Step pass.
2016-09-29_15_12_19 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_15_12_19 	PASS      		Step pass.
2016-09-29_15_12_19 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_15_12_19 	PASS      		Step pass.
2016-09-29_15_12_20 	NORMAL    	Executing postcommand
2016-09-29_15_12_20 	NORMAL    	Executing verify
2016-09-29_15_12_20 	NORMAL    		实际测试结果：[]
2016-09-29_15_12_20 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_15_14_07 	NORMAL    	Executing precommand
2016-09-29_15_14_07 	NORMAL    	Executing steps
2016-09-29_15_14_07 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_15_14_08 	PASS      		Step pass.
2016-09-29_15_14_08 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_15_14_09 	PASS      		Step pass.
2016-09-29_15_14_09 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_15_14_09 	PASS      		Step pass.
2016-09-29_15_14_09 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_15_14_09 	PASS      		Step pass.
2016-09-29_15_14_09 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_15_14_10 	PASS      		Step pass.
2016-09-29_15_14_10 	NORMAL    	Executing postcommand
2016-09-29_15_14_10 	NORMAL    	Executing verify
2016-09-29_15_14_10 	NORMAL    		实际测试结果：[]
2016-09-29_15_14_10 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_15_21_19 	NORMAL    	Executing precommand
2016-09-29_15_21_19 	NORMAL    	Executing steps
2016-09-29_15_21_19 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_15_21_21 	PASS      		Step pass.
2016-09-29_15_21_21 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_15_21_22 	PASS      		Step pass.
2016-09-29_15_21_22 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_15_21_22 	PASS      		Step pass.
2016-09-29_15_21_22 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_15_21_22 	PASS      		Step pass.
2016-09-29_15_21_22 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_15_21_22 	PASS      		Step pass.
2016-09-29_15_21_23 	NORMAL    	Executing postcommand
2016-09-29_15_21_23 	NORMAL    	Executing verify
2016-09-29_15_21_23 	NORMAL    		实际测试结果：[]
2016-09-29_15_21_23 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_15_38_58 	NORMAL    	Executing precommand
2016-09-29_15_38_58 	NORMAL    	Executing steps
2016-09-29_15_38_58 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_15_38_59 	PASS      		Step pass.
2016-09-29_15_38_59 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_15_39_00 	PASS      		Step pass.
2016-09-29_15_39_00 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_15_39_01 	PASS      		Step pass.
2016-09-29_15_39_01 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_15_39_01 	PASS      		Step pass.
2016-09-29_15_39_01 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_15_39_01 	PASS      		Step pass.
2016-09-29_15_39_01 	NORMAL    	Executing postcommand
2016-09-29_15_39_01 	NORMAL    	Executing verify
2016-09-29_15_39_01 	NORMAL    		实际测试结果：[]
2016-09-29_15_39_01 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_15_47_50 	NORMAL    	Executing precommand
2016-09-29_15_47_50 	NORMAL    	Executing steps
2016-09-29_15_47_50 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_15_47_52 	PASS      		Step pass.
2016-09-29_15_47_52 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_15_47_53 	PASS      		Step pass.
2016-09-29_15_47_53 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_15_47_53 	PASS      		Step pass.
2016-09-29_15_47_53 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_15_47_53 	PASS      		Step pass.
2016-09-29_15_47_53 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_15_47_53 	PASS      		Step pass.
2016-09-29_15_47_53 	NORMAL    	Executing postcommand
2016-09-29_15_47_53 	NORMAL    	Executing verify
2016-09-29_15_47_53 	NORMAL    		实际测试结果：[]
2016-09-29_15_47_53 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_15_50_33 	NORMAL    	Executing precommand
2016-09-29_15_50_33 	NORMAL    	Executing steps
2016-09-29_15_50_33 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_15_50_35 	PASS      		Step pass.
2016-09-29_15_50_35 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_15_50_36 	PASS      		Step pass.
2016-09-29_15_50_36 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_15_50_36 	PASS      		Step pass.
2016-09-29_15_50_36 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_15_50_36 	PASS      		Step pass.
2016-09-29_15_50_36 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_15_50_37 	PASS      		Step pass.
2016-09-29_15_50_37 	NORMAL    	Executing postcommand
2016-09-29_15_50_37 	NORMAL    	Executing verify
2016-09-29_15_50_37 	NORMAL    		实际测试结果：[]
2016-09-29_15_50_37 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_15_53_43 	NORMAL    	Executing precommand
2016-09-29_15_53_43 	NORMAL    	Executing steps
2016-09-29_15_53_43 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_15_53_45 	PASS      		Step pass.
2016-09-29_15_53_45 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_15_53_45 	PASS      		Step pass.
2016-09-29_15_53_46 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_15_53_46 	PASS      		Step pass.
2016-09-29_15_53_46 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_15_53_46 	PASS      		Step pass.
2016-09-29_15_53_46 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_15_53_46 	PASS      		Step pass.
2016-09-29_15_53_46 	NORMAL    	Executing postcommand
2016-09-29_15_53_46 	NORMAL    	Executing verify
2016-09-29_15_53_46 	NORMAL    		实际测试结果：[]
2016-09-29_15_53_46 	PASS      		Verify complete.[前置操作]
